Accident Ref.,Borough,Boro,Easting,Northing,CREFNO,Casualty Class,Casualty Sex,Casualty Age (Banded),Casualty Age,No. of Casualties,Casualty Severity,Ped. Location,Ped. Movement,Mode of Travel, 
1180087514,CITY OF LONDON,0,533090,181120,1,3 Pedestrian,2 Female,16-24,24,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian, 
1180104854,CITY OF LONDON,0,533650,180200,1,1 Driver/Rider,2 Female,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180104878,CITY OF LONDON,0,531860,181830,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180108670,CITY OF LONDON,0,531109,180810,1,1 Driver/Rider,1 Male,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180118053,CITY OF LONDON,0,533834,180877,1,1 Driver/Rider,1 Male,25-59,57,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180118410,CITY OF LONDON,0,531360,181150,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180120009,CITY OF LONDON,0,533650,180200,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180124085,CITY OF LONDON,0,531240,181600,1,2 Passenger,2 Female,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
1180124085,CITY OF LONDON,0,531240,181600,2,2 Passenger,1 Male,0-15,12,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
1180125412,CITY OF LONDON,0,533830,180800,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180131326,CITY OF LONDON,0,533710,180380,1,1 Driver/Rider,2 Female,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180132534,CITY OF LONDON,0,531180,181120,1,2 Passenger,2 Female,25-59,48,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
1180133621,CITY OF LONDON,0,531200,180810,1,3 Pedestrian,1 Male,25-59,47,1,2 Serious,05 Crossing Road (Not On Xing),4 From Drivers O/Side Msk,1 Pedestrian, 
1180137015,CITY OF LONDON,0,532080,181920,1,1 Driver/Rider,1 Male,25-59,50,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180137853,CITY OF LONDON,0,533740,181260,1,3 Pedestrian,1 Male,25-59,37,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
1180139618,CITY OF LONDON,0,530965,181611,1,1 Driver/Rider,2 Female,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180141705,CITY OF LONDON,0,531371,181575,1,3 Pedestrian,1 Male,0-15,0,1,2 Serious,08 In Centre Of Carriageway,1 From Drivers N/Side,1 Pedestrian, 
1180142461,CITY OF LONDON,0,533180,181430,1,1 Driver/Rider,1 Male,25-59,33,1,2 Serious,-2 Unknown,-2 N/A,4 Car, 
1180142544,CITY OF LONDON,0,533770,180640,1,1 Driver/Rider,1 Male,25-59,27,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180142624,CITY OF LONDON,0,533060,181500,1,1 Driver/Rider,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180142810,CITY OF LONDON,0,531250,181590,1,3 Pedestrian,2 Female,16-24,23,1,2 Serious,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
48180263982,CITY OF LONDON,0,533290,181590,1,2 Passenger,2 Female,25-59,54,1,2 Serious,-2 Unknown,-2 N/A,6 Bus Or Coach, 
48180264271,CITY OF LONDON,0,531640,181000,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180264277,CITY OF LONDON,0,531650,181030,1,3 Pedestrian,1 Male,25-59,36,1,3 Slight,09 In Road - Not Crossing,8 In Rd Back To Traffic,1 Pedestrian, 
48180264313,CITY OF LONDON,0,533380,180870,1,1 Driver/Rider,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180264318,CITY OF LONDON,0,533320,180710,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180266402,CITY OF LONDON,0,532170,181560,1,3 Pedestrian,1 Male,25-59,53,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48180266415,CITY OF LONDON,0,533070,180670,1,1 Driver/Rider,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180266415,CITY OF LONDON,0,533070,180670,3,3 Pedestrian,1 Male,25-59,49,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48180266415,CITY OF LONDON,0,533070,180670,2,3 Pedestrian,2 Female,25-59,38,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48180271007,CITY OF LONDON,0,533070,181460,1,1 Driver/Rider,1 Male,25-59,53,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180271015,CITY OF LONDON,0,533490,181140,1,1 Driver/Rider,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180271905,CITY OF LONDON,0,531530,180990,1,3 Pedestrian,2 Female,25-59,38,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian, 
48180271916,CITY OF LONDON,0,532720,181130,1,2 Passenger,1 Male,0-15,2,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
48180271928,CITY OF LONDON,0,531290,181170,1,3 Pedestrian,1 Male,60+,79,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48180272021,CITY OF LONDON,0,531600,181360,1,3 Pedestrian,2 Female,16-24,21,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
48180272033,CITY OF LONDON,0,532870,180780,1,1 Driver/Rider,2 Female,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180272044,CITY OF LONDON,0,531600,181450,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180274817,CITY OF LONDON,0,531310,181360,1,1 Driver/Rider,1 Male,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180274828,CITY OF LONDON,0,533600,181180,1,3 Pedestrian,2 Female,25-59,33,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
48180274868,CITY OF LONDON,0,533360,181750,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
48180274868,CITY OF LONDON,0,533360,181750,2,2 Passenger,1 Male,25-59,35,1,2 Serious,-2 Unknown,-2 N/A,7 Goods Vehicle, 
48180277310,CITY OF LONDON,0,532230,180970,1,1 Driver/Rider,1 Male,25-59,33,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180277320,CITY OF LONDON,0,532680,181370,1,3 Pedestrian,1 Male,60+,63,1,2 Serious,09 In Road - Not Crossing,8 In Rd Back To Traffic,1 Pedestrian, 
48180277374,CITY OF LONDON,0,531640,181040,2,3 Pedestrian,2 Female,25-59,48,1,2 Serious,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
48180277374,CITY OF LONDON,0,531640,181040,1,1 Driver/Rider,2 Female,25-59,41,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180278044,CITY OF LONDON,0,531760,181160,1,1 Driver/Rider,2 Female,25-59,31,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180282855,CITY OF LONDON,0,531760,181170,1,1 Driver/Rider,2 Female,25-59,31,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180282867,CITY OF LONDON,0,533240,181520,1,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
48180282882,CITY OF LONDON,0,532220,181040,1,3 Pedestrian,2 Female,16-24,23,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
48180282926,CITY OF LONDON,0,533190,181400,1,2 Passenger,1 Male,0-15,0,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
48180282945,CITY OF LONDON,0,533600,181180,1,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
48180289354,CITY OF LONDON,0,532620,180770,1,1 Driver/Rider,2 Female,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
48180289354,CITY OF LONDON,0,532620,180770,2,1 Driver/Rider,2 Female,25-59,32,1,2 Serious,-2 Unknown,-2 N/A,4 Car, 
